SAHSU_GRD_LEVEL2,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.001","","1","{""type"":""Point"",""coordinates"":[-6.36447811663261,55.1846108882703]}"
"01.002","","2","{""type"":""Point"",""coordinates"":[-6.72944498678687,54.9861042071018]}"
"01.003","","3","{""type"":""Point"",""coordinates"":[-7.30272703673231,54.8380270006204]}"
"01.004","","4","{""type"":""Point"",""coordinates"":[-6.49752751099877,54.8431984603293]}"
"01.005","","5","{""type"":""Point"",""coordinates"":[-6.12712384427312,54.9266239071054]}"
"01.006","","6","{""type"":""Point"",""coordinates"":[-5.69842684960186,54.8976428162187]}"
"01.007","","7","{""type"":""Point"",""coordinates"":[-6.89721995908163,54.0867635909076]}"
"01.008","","8","{""type"":""Point"",""coordinates"":[-6.54372797176735,54.4006825147175]}"
"01.009","","9","{""type"":""Point"",""coordinates"":[-6.1142402340227,54.4434524682342]}"
"01.011","","10","{""type"":""Point"",""coordinates"":[-6.23842742452612,54.1627636409006]}"
"01.012","","11","{""type"":""Point"",""coordinates"":[-5.77869692964237,54.2166512827777]}"
"01.013","","12","{""type"":""Point"",""coordinates"":[-6.52542157743406,53.8402864247415]}"
"01.014","","13","{""type"":""Point"",""coordinates"":[-7.24669171811797,53.2995738304985]}"
"01.015","","14","{""type"":""Point"",""coordinates"":[-6.68411239150798,53.6052365920332]}"
"01.016","","15","{""type"":""Point"",""coordinates"":[-5.57639756386895,53.7060196095887]}"
"01.017","","16","{""type"":""Point"",""coordinates"":[-6.99828886177757,53.0298596972378]}"
"01.018","","17","{""type"":""Point"",""coordinates"":[-5.93617635675363,53.1514779844403]}"
